City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Codrington,AU,-38.2667,141.9667,49.14,94,46,13.87,scattered clouds
80,Guarapari,BR,-20.6667,-40.4975,77.92,61,0,13.85,clear sky
81,Port Elizabeth,ZA,-33.918,25.5701,50.29,87,40,3.44,scattered clouds
82,Jamestown,US,42.097,-79.2353,85.08,61,40,13.8,scattered clouds
83,Bhubaneswar,IN,20.2333,85.8333,86.09,94,75,2.3,haze
84,Iztapa,GT,13.9333,-90.7075,91.45,66,75,11.5,broken clouds
85,Souillac,MU,-20.5167,57.5167,70.36,64,20,12.66,few clouds
86,Fare,PF,-16.7,-151.0167,77.59,66,2,14.12,clear sky
87,Aklavik,CA,68.2191,-135.0107,55.4,76,75,12.66,broken clouds
88,Jos,NG,9.9167,8.9,65.01,96,100,5.73,light rain
89,High Level,CA,58.5169,-117.136,64.51,68,40,2.3,light rain
90,Norman Wells,CA,65.282,-126.8329,66.24,45,20,8.05,few clouds
91,Harper,LR,4.375,-7.7169,76.46,75,43,7.16,scattered clouds
92,Salalah,OM,17.0151,54.0924,78.89,94,75,8.05,broken clouds
93,Zachary,US,30.6485,-91.1565,96.73,63,1,3.44,clear sky
94,Barcelos,PT,41.5388,-8.6151,75.29,80,49,6.58,scattered clouds
95,Ciro Marina,IT,39.3732,17.126,84.07,63,3,11.79,clear sky
96,Uyemskiy,RU,64.4743,40.8524,48.25,87,20,4.47,few clouds
97,Pingxiang,CN,27.6167,113.85,78.46,87,85,3.13,overcast clouds
98,Wanlaweyn,SO,2.6185,44.8938,74.34,73,3,16.53,clear sky
99,Alyangula,AU,-13.8483,136.4192,58.87,94,91,0.0,overcast clouds
100,At-Bashi,KG,41.1702,75.8106,62.56,34,0,2.01,clear sky
101,Moron,AR,-34.6534,-58.6198,59.97,96,93,4.0,overcast clouds
102,Cidreira,BR,-30.1811,-50.2056,71.89,60,0,10.2,clear sky
103,Komsomolskiy,UZ,40.4272,71.7189,84.92,30,0,6.91,clear sky
104,Broome,US,42.2506,-75.833,86.63,61,20,1.99,few clouds
105,Provideniya,RU,64.3833,-173.3,47.16,99,100,4.43,light rain
106,Northam,GB,51.0333,-4.2167,69.73,78,50,6.26,scattered clouds
107,Chuy,UY,-33.6971,-53.4616,67.35,82,0,7.56,clear sky
108,College,US,64.8569,-147.8028,63.21,65,75,3.44,light rain
109,Cabo San Lucas,MX,22.8909,-109.9124,96.8,67,3,8.75,clear sky
110,Prudyanka,UA,50.2361,36.1683,73.65,51,0,8.01,clear sky
111,Hambantota,LK,6.1241,81.1185,77.34,100,75,6.91,broken clouds
112,Umm Lajj,SA,25.0213,37.2685,89.17,43,0,8.79,clear sky
113,Kahului,US,20.8947,-156.47,84.97,82,20,17.27,few clouds
114,Klyuchi,RU,52.2667,79.1667,72.9,48,81,7.36,broken clouds
115,Mahebourg,MU,-20.4081,57.7,70.25,64,20,12.66,few clouds
116,Henties Bay,NA,-22.116,14.2845,70.41,35,38,11.16,scattered clouds
117,Constitucion,CL,-35.3333,-72.4167,53.58,87,30,9.89,scattered clouds
118,Bethel,US,41.3712,-73.414,81.01,84,90,1.01,overcast clouds
119,Frontera,MX,26.9333,-101.45,94.19,25,0,4.32,clear sky
120,Palmer,US,42.1584,-72.3287,73.99,80,90,1.99,overcast clouds
121,Atmakur,IN,15.8833,78.5833,78.17,80,51,12.28,broken clouds
122,Namatanai,PG,-3.6667,152.4333,78.53,84,98,1.97,overcast clouds
123,Mgandu,TZ,-5.95,34.1333,62.1,42,0,10.49,clear sky
124,Itarema,BR,-2.9248,-39.9167,83.93,58,27,17.43,scattered clouds
125,Dikson,RU,73.5069,80.5464,39.25,86,100,13.73,overcast clouds
126,Foshan,CN,23.0268,113.1315,86.95,72,11,4.27,heavy intensity rain
127,Kurilsk,RU,45.2333,147.8833,61.92,86,3,6.93,clear sky
128,Norden,DE,53.6,7.2,71.58,87,25,3.58,scattered clouds
129,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,4.61,broken clouds
130,Rocha,UY,-34.4833,-54.3333,71.71,75,16,9.89,few clouds
131,Vesoul,FR,47.5833,5.8333,73.63,87,100,4.27,overcast clouds
132,Kholodnyy,RU,62.7167,147.95,54.45,99,100,3.31,moderate rain
133,Mount Gambier,AU,-37.8333,140.7667,49.91,93,40,12.66,scattered clouds
134,Kaeo,NZ,-35.1,173.7833,56.32,96,30,9.69,scattered clouds
135,Formosa,AR,-26.1775,-58.1781,89.58,40,100,9.22,haze
136,Bluff,NZ,-46.6,168.3333,47.8,87,100,6.17,moderate rain
137,Berlevag,NO,70.8578,29.0864,46.4,87,75,23.02,broken clouds
138,Grand Gaube,MU,-20.0064,57.6608,70.38,59,0,8.99,clear sky
139,Mocorito,MX,25.4833,-107.9167,94.26,40,7,4.47,clear sky
140,Faanui,PF,-16.4833,-151.75,78.04,67,0,14.67,clear sky
141,Aykhal,RU,66.0,111.5,67.46,64,6,8.14,clear sky
142,Bulgan,MN,48.8125,103.5347,55.31,82,55,4.83,broken clouds
143,Omsukchan,RU,62.5333,155.8,49.8,99,100,6.8,light rain
144,Santa Cruz De Tenerife,ES,28.4682,-16.2546,82.72,82,20,11.99,few clouds
145,Nardaran,AZ,40.5561,50.0056,80.24,69,0,16.11,clear sky
146,Hofn,IS,64.2539,-15.2082,52.03,93,100,18.5,overcast clouds
147,Bollnas,SE,61.3482,16.3946,69.03,60,29,4.0,scattered clouds
148,Hami,CN,42.8,93.45,87.1,18,0,8.77,clear sky
149,Udachnyy,RU,66.4167,112.4,70.27,55,34,8.77,scattered clouds
150,Ponta Do Sol,PT,32.6667,-17.1,77.72,78,1,4.38,clear sky
151,Inta,RU,66.0317,60.1659,49.05,93,100,15.7,overcast clouds
152,Jayanca,PE,-6.3908,-79.8219,71.2,47,6,11.95,clear sky
153,Sampit,ID,-2.5333,112.95,70.92,96,1,2.84,clear sky
154,Bathsheba,BB,13.2167,-59.5167,88.41,70,75,17.27,broken clouds
155,Puerto Rico,AR,-26.796,-55.024,87.82,30,5,5.39,clear sky
156,Lorengau,PG,-2.0226,147.2712,78.15,85,100,9.26,overcast clouds
157,Pasni,PK,25.2631,63.471,81.68,84,87,11.65,overcast clouds
158,Zhigansk,RU,66.7697,123.3711,57.85,65,54,8.81,broken clouds
159,Igarka,RU,67.4667,86.5833,54.46,96,61,2.71,broken clouds
160,Pakaur,IN,24.6333,87.85,85.06,76,100,4.25,overcast clouds
161,Floro,NO,61.5996,5.0328,74.1,64,20,10.36,few clouds
162,San Quintin,MX,30.4833,-115.95,69.82,80,100,8.48,overcast clouds
163,Verkh-Usugli,RU,52.7,115.1667,56.62,79,99,6.44,overcast clouds
164,Namibe,AO,-15.1961,12.1522,66.47,88,0,2.28,clear sky
165,Sulangan,PH,11.1373,123.7228,83.97,72,30,14.61,scattered clouds
166,Estelle,US,29.8458,-90.1067,98.6,74,75,10.36,broken clouds
167,Luanda,AO,-8.8368,13.2343,70.92,85,6,11.68,clear sky
168,Nikolskoye,RU,59.7035,30.7861,69.69,67,7,2.46,clear sky
169,Igunga,TZ,-4.2833,33.8833,71.22,39,3,11.14,clear sky
170,Jiujiang,CN,29.7333,115.9833,78.49,83,99,5.06,light rain
171,Boundiali,CI,9.5217,-6.4869,76.06,80,100,1.68,light rain
172,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,90,12.66,light rain
173,Raudeberg,NO,61.9875,5.1352,73.18,85,0,12.08,clear sky
174,Tessalit,ML,20.1986,1.0114,88.61,40,99,17.29,overcast clouds
175,Lima,PE,-12.0432,-77.0282,64.13,72,90,6.91,overcast clouds
176,Nushki,PK,29.5542,66.0215,92.34,16,5,2.53,clear sky
177,Tibu,CO,8.639,-72.7358,89.56,54,100,3.04,overcast clouds
178,Christchurch,NZ,-43.5333,172.6333,53.01,80,100,5.99,light rain
179,Ilulissat,GL,69.2167,-51.1,55.42,35,75,13.8,broken clouds
180,Nome,US,64.5011,-165.4064,49.15,87,90,10.36,overcast clouds
181,Rosetta,EG,31.4044,30.4164,78.62,71,0,11.92,clear sky
182,Maceio,BR,-9.6658,-35.7353,76.44,83,75,10.36,broken clouds
183,Pangai,TO,-19.8,-174.35,71.71,94,20,2.3,few clouds
184,Lagoa,PT,39.05,-27.9833,70.07,80,100,12.33,overcast clouds
185,Bourail,NC,-21.5667,165.4833,64.45,91,10,0.38,clear sky
186,Hobyo,SO,5.3505,48.5268,77.04,74,49,24.94,scattered clouds
187,Asse,BE,50.9101,4.1984,71.51,89,79,6.15,broken clouds
188,Altay,CN,47.8667,88.1167,67.06,55,83,4.03,broken clouds
189,Bairiki,KI,1.3292,172.9752,78.8,89,40,2.3,scattered clouds
190,Ribeira Grande,PT,38.5167,-28.7,75.6,73,20,3.44,few clouds
191,Khandyga,RU,62.6667,135.6,55.35,96,83,2.57,broken clouds
192,Calabozo,VE,8.9242,-67.4293,82.33,72,100,2.8,overcast clouds
193,Saint George,US,37.1041,-113.5841,92.43,41,1,1.99,clear sky
194,Ahuimanu,US,21.4447,-157.8378,82.11,76,75,12.66,light rain
195,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,40,20.71,scattered clouds
196,Thompson,CA,55.7435,-97.8558,59.16,51,75,13.8,broken clouds
197,Brumado,BR,-14.2036,-41.6653,80.04,32,0,8.55,clear sky
198,Sosnogorsk,RU,63.6023,53.8817,51.39,79,100,4.61,overcast clouds
199,Cortez,US,37.3489,-108.5859,82.67,52,20,16.11,few clouds
200,Teguise,ES,29.0605,-13.564,71.82,69,20,27.63,few clouds
201,Arona,ES,28.0996,-16.681,75.83,65,0,20.71,clear sky
202,Manakara,MG,-22.1333,48.0167,64.24,77,100,8.1,overcast clouds
203,Kotturu,IN,14.8167,76.2167,71.69,88,28,15.77,scattered clouds
204,Geraldton,AU,-28.7667,114.6,49.12,87,0,12.66,clear sky
205,Dromolaxia,CY,34.8761,33.586,83.44,83,0,3.44,clear sky
206,Margherita,IN,27.2833,95.6833,76.15,97,99,2.62,light rain
207,Tygda,RU,53.1167,126.3333,58.8,97,25,3.58,scattered clouds
208,Anju,KP,39.6178,125.6647,74.01,88,83,3.31,broken clouds
209,Bueno Brandao,BR,-22.4408,-46.3508,71.83,24,0,7.63,clear sky
210,San Patricio,US,28.017,-97.5169,94.01,41,0,12.5,clear sky
211,Bamnet Narong,TH,15.4992,101.6897,78.71,93,100,17.25,overcast clouds
212,Ancud,CL,-41.8697,-73.8203,47.73,61,24,11.03,few clouds
213,Kifri,IQ,34.6959,44.9661,103.28,14,0,9.64,clear sky
214,Bumba,CD,2.1833,22.4667,75.81,76,100,3.04,overcast clouds
215,Whyalla,AU,-33.0333,137.5833,48.09,87,0,11.5,clear sky
216,Shihezi,CN,44.3,86.0333,80.92,26,0,2.57,clear sky
217,Fortuna,US,40.5982,-124.1573,61.72,85,1,10.36,clear sky
218,Nileshwar,IN,12.25,75.1,77.9,89,93,9.33,heavy intensity rain
219,Hervey Bay,AU,-25.2986,152.8535,52.03,61,2,12.06,clear sky
220,Griffith,US,41.5284,-87.4237,91.98,42,40,1.01,scattered clouds
221,Samarai,PG,-10.6167,150.6667,78.31,78,100,15.21,overcast clouds
222,Bolshaya Glushitsa,RU,50.2406,43.5908,65.12,51,0,8.68,clear sky
223,Saint-Georges,GD,12.0564,-61.7485,83.88,79,20,14.97,few clouds
224,Narsaq,GL,60.9167,-46.05,59.22,51,71,3.76,broken clouds
225,Middelburg,ZA,-25.7751,29.4648,43.79,43,0,3.06,clear sky
226,Tupik,RU,54.4253,119.9327,56.17,96,100,5.17,light rain
227,Phan Thiet,VN,10.9333,108.1,75.96,92,86,9.51,overcast clouds
228,Muisne,EC,0.6,-80.0333,84.31,78,93,11.86,overcast clouds
229,Sioux Lookout,CA,50.1001,-91.917,79.18,41,20,16.11,few clouds
230,Madison,US,34.7334,-86.5667,93.97,67,75,1.01,broken clouds
231,Veliko Gradiste,RS,44.7567,21.5136,84.25,48,5,12.39,clear sky
232,Fairbanks,US,64.8378,-147.7164,63.23,65,90,1.01,light rain
233,Wanning,CN,18.8003,110.3967,79.29,92,70,9.08,broken clouds
234,Poykovskiy,RU,61.2333,73.3333,59.29,100,40,4.47,light intensity shower rain
235,Severo-Kurilsk,RU,50.6789,156.125,53.98,99,81,5.03,broken clouds
236,Victoria,HK,22.2855,114.1577,86.32,87,19,1.01,few clouds
237,Hilo,US,19.7297,-155.09,80.8,89,90,0.0,moderate rain
238,Soubre,CI,5.7856,-6.6083,74.84,84,97,2.84,overcast clouds
239,Los Algarrobos,PA,8.5,-82.4333,79.21,86,75,4.61,broken clouds
240,Lasa,IT,46.6166,10.7002,67.08,88,71,3.11,broken clouds
241,Riyadh,SA,24.6877,46.7219,100.54,14,0,8.97,clear sky
242,Ascension,US,30.2169,-90.9001,98.6,59,75,3.44,broken clouds
243,Carnarvon,AU,-24.8667,113.6333,53.67,73,0,4.61,clear sky
244,Tiksi,RU,71.6872,128.8694,47.53,82,100,6.6,overcast clouds
245,Coihaique,CL,-45.5752,-72.0662,45.21,53,75,5.75,broken clouds
246,Xining,CN,36.6167,101.7667,56.84,88,100,3.89,overcast clouds
247,Nanortalik,GL,60.1432,-45.2371,45.03,73,100,14.12,overcast clouds
248,Klaksvik,FO,62.2266,-6.589,52.72,95,100,11.18,overcast clouds
249,New Iberia,US,30.0035,-91.8187,95.97,58,1,3.44,clear sky
250,Clyde River,CA,70.4692,-68.5914,35.83,100,90,10.36,mist
251,Lavrentiya,RU,65.5833,-171.0,44.38,99,100,4.23,light rain
252,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,40,20,14.97,few clouds
253,Eyl,SO,7.9803,49.8164,77.86,70,4,23.04,clear sky
254,Chota,PE,-6.55,-78.65,75.9,55,50,7.45,light rain
255,Ostrovnoy,RU,68.0531,39.5131,45.99,90,100,15.97,overcast clouds
256,Mar Del Plata,AR,-38.0023,-57.5575,57.09,60,90,4.0,overcast clouds
257,Gambela,ET,8.25,34.5833,68.81,97,100,3.29,overcast clouds
258,Arman,RU,59.7,150.1667,53.51,99,100,6.4,light rain
259,Torbay,CA,47.6666,-52.7314,62.76,88,75,8.05,broken clouds
260,Atikokan,CA,48.7555,-91.6216,84.09,23,7,13.42,clear sky
261,Labuhan,ID,-6.8844,112.2051,73.56,81,53,5.84,broken clouds
262,Airai,TL,-8.9266,125.4092,55.89,53,76,3.2,broken clouds
263,Xai-Xai,MZ,-25.0519,33.6442,61.3,77,22,6.73,light rain
264,Tay Ninh,VN,11.3,106.1,76.23,89,100,5.55,overcast clouds
265,Kutum,SD,14.2,24.6667,71.91,72,100,10.02,overcast clouds
266,Nishihara,JP,26.1842,127.7558,80.26,94,75,12.66,broken clouds
267,Vostok,RU,46.4856,135.8833,65.66,87,100,3.98,overcast clouds
268,Sechura,PE,-5.5569,-80.8222,77.52,60,15,12.75,few clouds
269,Thomasville,US,35.8826,-80.082,88.7,72,100,1.99,overcast clouds
270,Corralillo,CU,22.9819,-80.5856,86.29,61,75,10.4,broken clouds
271,Biak,ID,-0.9131,122.8766,74.93,82,75,6.42,broken clouds
272,Roma,US,43.2128,-75.4557,86.13,60,75,10.36,broken clouds
273,Culpeper,US,38.5004,-77.9664,91.71,51,1,5.75,clear sky
274,Plettenberg Bay,ZA,-34.0527,23.3716,59.22,48,99,4.74,overcast clouds
275,Kiunga,PG,-6.1219,141.2906,71.51,100,100,3.2,overcast clouds
276,Bangassou,CF,4.7413,22.8184,70.34,96,100,1.7,light rain
277,Matara,LK,5.9485,80.5353,77.88,87,99,10.49,overcast clouds
