City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Pakaur,IN,85.06,overcast clouds,24.6333,87.85,Jannisar Ansari
161,Floro,NO,74.1,few clouds,61.5996,5.0328,Kinn Hotell Florø
165,Sulangan,PH,83.97,scattered clouds,11.1373,123.7228,Maia's Beach Resort
167,Luanda,AO,70.92,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
169,Igunga,TZ,71.22,clear sky,-4.2833,33.8833,Victoria Lodge
170,Jiujiang,CN,78.49,light rain,29.7333,115.9833,Tianhai Fashion Theme Hotel
171,Boundiali,CI,76.06,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
173,Raudeberg,NO,73.18,clear sky,61.9875,5.1352,Nordre Silda.
177,Tibu,CO,89.56,overcast clouds,8.639,-72.7358,Hotel Yuliana's
181,Rosetta,EG,78.62,clear sky,31.4044,30.4164,Green Valley
182,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
183,Pangai,TO,71.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
184,Lagoa,PT,70.07,overcast clouds,39.05,-27.9833,Casa Das Faias
186,Hobyo,SO,77.04,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
187,Asse,BE,71.51,broken clouds,50.9101,4.1984,Green Cottage
189,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
190,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
192,Calabozo,VE,82.33,overcast clouds,8.9242,-67.4293,Hotel Giardini
194,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
197,Brumado,BR,80.04,clear sky,-14.2036,-41.6653,Hotel São Lázaro
199,Cortez,US,82.67,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
200,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
201,Arona,ES,75.83,clear sky,28.0996,-16.681,Paradise Court
203,Kotturu,IN,71.69,scattered clouds,14.8167,76.2167,Haripriya Landmark Hotel
205,Dromolaxia,CY,83.44,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
206,Margherita,IN,76.15,light rain,27.2833,95.6833,Dehing Guest House
208,Anju,KP,74.01,broken clouds,39.6178,125.6647,Super Secret Russian Base
209,Bueno Brandao,BR,71.83,clear sky,-22.4408,-46.3508,Hotel Central
211,Bamnet Narong,TH,78.71,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
214,Bumba,CD,75.81,overcast clouds,2.1833,22.4667,Hôtel Cape Town
